restaurant_id	borough_id	building	street	zipcode	cuisine_id
abb91d14a8c2e46a56ac3fb8d7b33d44	2	10	GRAND ARMY PLZ	11238	13
2acd3a862fee955f73cb5b12789eecbc	2	66	SOUTH    2 STREET	11249	47
64db241ec98efba157bfcbdcbdbef664	3	2787	BROADWAY	10025	3
61e0212ce25de6f5dcb5a80aeb8c8705	3	1	E 118TH ST	10029	80
345d4c0f7f0fb6cd70fda3f4ce89bec1	3	15	EAST   15 STREET	10003	47
7f8c71079d963dd3b2fc595c91009331	3	1633	2ND AVE	10028	52
71356f7fcc16b6517346bfc6cf8e40a2	2	1818	AVENUE U	11229	19
f1cd78eedcd9a76cf3a0a51e5e5e2853	2	345A	NOSTRAND AVE	11216	63
838cc0cedb3dc2430d39d2d47ab06044	3	4318	BROADWAY	10033	3
1f3e85d822bd9bcaadb27a83a129865a	3	28	CANAL ST	10002	19
6eba1d2871cdef35c74c51e4751b32f9	1	445	MORRIS PARK AVENUE	10460	51
d35ee6c3a04565abab4aa0c8f2206dab	1	324	E 194TH ST	10458	62
d2411731aa39299af5c6392c0f5d6e4e	2	3914	8TH AVE	11232	19
171ac2254fa959132b0e8379101e751d	4	4755	46 STREET	11377	53
bb95a7c01145e9e563bbbdcbeadccf15	3	50	COMMERCE ST	10014	3
f0d904523e1cb6cb0dfdd4de473c1292	4	5221	ROOSEVELT AVENUE	11377	47
e8242feeb6924148f86b17826e8e96b7	4	0	JOHN F. KENNEDY INTL AIR	11430	78
a75d6b8ac8337df2e28536c3790653e6	2	620	CATON AVENUE	11218	62
e525efacca52718f3d35013b10d2b30f	4	16417	UNION TURNPIKE	11366	37
4eaec1da350719045c208f62393d6ec7	4	5846	MAIN STREET	11355	8
352a2e93a1beb8ce1e857784e88fdc3b	3	1723	BROADWAY	10019	62
181c317c70ae49d02c3ccaa70952cec8	2	481	NOSTRAND AVENUE	11216	8
2d0460b6ff9ed65c39ac40ccba6c68be	2	6024	18TH AVE	11204	62
595d835be573cdfbaf3a7048d358a44c	3	173	ORCHARD STREET	10002	51
ef0406856e73feab4660dca02729f6dc	2	794	BROADWAY	11206	19
66afb5062617380c346d30240271971c	3	431	7TH AVE	10001	3
0d8ac08d2384eccb1f55d741fddff303	1	3108	WEBSTER AVE	10467	51
8e9afb973b84495089300d3a9c00a282	2	620	ATLANTIC AVENUE	11217	3
a1a4b8ee7b69862dcdfde585f828d94d	2	769	GRAND ST	11211	47
77fb42aa5146de34814618de1b2fa253	4	5906	MAIN ST	11355	26
357ed08c4e606b229d68c49e765eabcc	2	556	DRIGGS AVENUE	11211	46
85ed053f04d6677e3ba9ffb96d811354	4	3263	87TH ST	11369	79
c7e9ae2e92d6098d11b9290c3ec1ae32	4	24205	NORTHERN BLVD	11362	62
9d9ff86e28061f46f4ee460f47f80fa2	5	415	FOREST AVE	10301	3
f05f11437c0f6b56d6a53eccbb785447	4	10702	70TH RD	11375	78
133718868504ec989290d9eae51aee11	3	405	WEST   55 STREET	10019	3
c95aa4836302d387e2adf18c4036c597	2	132	GREENE AVENUE	11238	46
1d453b1a90cd4fadb92abbe3e228cba5	3	14	MOTT STREET	10013	47
348ad6dac6f0f31e44872afbe187590b	2	248	5 AVENUE	11215	46
436695414de6a5c95093821056b950f8	3	9	E 17TH ST	10003	46
e708ba03e30542d0a081303ae407bd23	1	2460	WILLIAMSBRIDGE RD	10469	13
418d536309e481665f4a8c16053ab5ea	3	31	WEST   17 STREET	10011	66
7b8636167c69f69020bd700ef9170206	2	280	KNICKERBOCKER AVENUE	11237	54
59ef42a3602a17ef5bd11f030e7b368a	3	55-59	CHRYSTIE STREET	10002	5
60dc89a4cd03e1b0b50d301ff5d8575a	2	1091	UTICA AVENUE	11203	16
f7661147d49e3e3c89fb80dc3e17e826	3	89	E 42ND ST	10017	3
902c543a0f7cd18c73933fc97ff0c417	4	3702	ASTORIA BLVD	11103	38
f94a7d852440c9dd36ffbb2af4847f31	3	365	WEST   34 STREET	10001	5
f6289b9ab125b51f04a346fd60b98be3	2	264	SUYDAM STREET	11237	51
0f96d2eb5d46c6c4fb14512d9bdd273d	3	694	3RD AVE	10017	5
f0f81d8f68bb1ac195c4ae148c646ca6	3	18	FULTON ST	10038	72
175ff2925f75aff0d5049ee5da48a811	4	NKA	LAGUARDIA AIRPORT	11369	3
ce2def7b32560c3c3073ad46729bb772	3	1159	3 AVENUE	10065	3
98a01e9784ba693bb5fd62a061e058ec	3	165	MULBERRY STREET	10013	46
a5b08feef78ddbca12f6fe2b1e099842	3	403 A	AMSTERDAM AVENUE	10024	26
42ae27f51ec5eb26985e4327341a9f27	4	5930	GRAND AVE	11378	11
9e49bfc7d42682fcb400bb44c1e8d656	3	1378	1 AVENUE	10021	42
5aca339780796a378e92bd8a497ff2a0	4	8268	164 STREET	11432	3
99e709f45906bcf9382390a76ab7623f	3	1750	2ND AVE	10128	3
61b8f9988c03a0e48c00bb6a5016eb49	4	5764	MASPETH AVE	11378	62
8bcb4b4c45a527cb39ee7a117b17602a	2	6100	16 AVENUE	11204	3
772708bfba4a8c5d4aea1500337b638b	2	6920	3 AVENUE	11209	3
d0e741996e1ff106c545bc82a77e5e5e	3	909	3RD AVE	10022	3
48c1d81f81d9bb55557913b9534788bc	1	211	EAST  167 STREET	10456	51
d15cf08d793e271d9b433ce6d5df962f	3	780	3 AVENUE	10017	62
b1a22fed5949447d02faea1b66dde476	3	1	WEST  125 STREET	10027	3
8bf6a98737fcb9363d158d251f208b83	1	2276	BARTOW AVENUE	10475	3
69fb8fd2c22b84c2d99a7510d7ccb01d	4	4028	COLLEGE POINT BOULEVARD	11354	3
3ca7914a400578c3be4d29d3801f3c26	2	429	CENTRAL AVE	11221	77
ea757ae0db9e6b0cb36ac16c96f177ad	3	145-147	AVENUE A	10009	51
95c8a6b719e4ddbd9813b5c49c9e70d3	3	239	GREENE STREET	10003	3
e6cb1b0ff467ffef10eb902140bd6cf6	3	95	STANTON STREET	10002	3
118f6f132a3328d75732bf3529c3a406	3	52	8 AVENUE	10014	3
0038665773461435a0643c6322da0ce9	2	18	WYCKOFF AVE	11237	62
03ca5bedb8bb073b3c4f7621d9b0f37c	3	1610	YORK AVE	10028	62
1b4d4f03473c41d10026a3696a7dfe52	2	71	7TH AVE	11217	5
152becd30b9ff15419d35862a493d2aa	3	493	2ND AVE	10016	19
3e5b38b5b266dabffa2e251e489e7f77	4	NKA	LAGUARDIA INTL AIRPORT	11370	5
5f2d56923935eeff6278b1f1a1bf5303	4	8610	WHITNEY AVENUE	11373	43
f0aab11619327e562ee5adb918088f17	3	404	MALCOLM X BLVD	10037	13
e8f92d5b04d080e2eb77627f508fa3d5	2	620	ATLANTIC AVE	11217	3
91c1d4164cc8754e788638bd1d4f9c28	3	753	9TH AVENUE	10019	3
b694c9283b4b556a35cde8e974d759d2	3	225	W BROADWAY	10013	46
f50334efbf1c50e57fecaf1b7d923fb7	3	1251	6 AVENUE	10020	3
152b022bae2d2e67a974ad58cfc10a64	4	NKA	JFK INTERNATIONAL AIRPORT	11430	70
b04786ae02c0ef46cdf785000c4ceb60	3	5	BEEKMAN ST	10038	3
46f9489325d87a09024c4eafd6dfaf96	5	2655	RICHMOND AVE	10314	7
68a0ed8bcf005960c04d4f54a76e7d4e	4	7204	AUSTIN STREET	11375	3
a3d264ee65f982e6ec286c70b40e33bc	4	4501	GREENPOINT AVENUE	11104	3
bdd2cfbeff7a5be808287bc6d487d7d3	4	1858	CORNAGA AVENUE	11691	48
9ba38908e3099891cff2dac5fed7ece8	3	314	W 39TH ST	10018	47
d9a85c884703ca5a5d645fcb53fd44a9	3	465	WEST   51 STREET	10019	48
29f36994ad86dbab593515b82e9810eb	2	496	CRESCENT ST	11208	42
b44c26be1b0554ab0438d75ff1f37ab3	3	40	EAST    4 STREET	10003	3
5be2dbff26bd6ac8479f168bb86f0a3c	2	295	3RD AVE	11215	28
f76ff8b18f4f02affce7e9641bb6db75	3	627	2 AVENUE	10016	80
1ee5ec3f098dfa5160f88a703b7662cb	2	200	CLINTON ST	11201	7
24c66dd1944f84db08b1d5fda94e5968	3	370	7 AVENUE	10001	3
6beba80170e5d051614e7192c8c0091e	2	1203	QUENTIN RD	11229	7
eae0dc2e7abf6e45939eb63622947717	2	189	BEDFORD AVENUE	11211	3
79b2a34d41cf3b42df0a0e9fd352c84f	2	184	EAST   35 STREET	11203	16
bcaa500d3c752960656e9afaf218f33e	3	1540	SAINT NICHOLAS AVE	10040	8
24a6708fdd257ebbdb7873530febbcc1	4	5913	71ST AVE	11385	49
87cb2062d4d012cf2a3c97217b5eba41	3	360	WEST   46 STREET	10036	81
b42a06efe08e83d39c91668deae1bca8	4	3301	GREENPOINT AVENUE	11101	45
99fb1e262ab9940422a77ae29cc63ead	3	152	WEST   52 STREET	10019	3
39d186abaecf9d19e0a1c203de1462b5	2	565	VANDERBILT AVE	11238	47
54638fedd684fa61d3b42989db293cbd	3	212	EAST   52 STREET	10022	47
b4863c4eb787c4ce7df8efeeae3c96da	3	2546	FREDERICK DOUGLASS BOULEVARD	10030	2
250f21e19313c601138b6397b7cd62a6	3	245	GREENWICH ST	10007	13
794d68ca8a04e973eae892ab77d6a9a4	2	170	7 AVENUE	11215	3
c92bd4834a43ce4172349727a7b98d69	3	244	3RD AVE	10010	3
65fadefc31f5e87052174c01cc10461f	3	1678	3 AVENUE	10128	3
0085c9a71fd7864b30a451a92116900f	3	33	EAST   17 STREET	10003	13
1c203ab4064a455a3814e3916e0ebbea	4	3448	JUNCTION BOULEVARD	11372	51
d0b193b5444214fa290db7d88196bfc1	3	47	8 AVENUE	10014	33
18a0ecd7c6cd97b3b7ab71c5613ae2cf	4	3217	STEINWAY STREET	11103	51
74a742fba03150f7dbac552204c5bdcd	3	95	MACDOUGAL STREET	10012	62
caa6a98529a52eb4cf2e1da5f70e1710	3	92	9TH AVE	10011	5
7a57c563e614dcbf3f04f140b79193d4	3	132	ALLEN ST	10002	41
462b675461abc22d9b2a843a1bddebc5	2	10401	FOSTER AVENUE	11236	13
ee8a3f4dc4eb8386c2eba0d5b138d7d6	3	155	EAST BROADWAY	10002	13
dc4f5a47b5ba47640e6b5607147207d2	4	13106	ROCKAWAY BLVD	11420	19
160ddbb2f87840661e55d4e8bb62d52c	3	325	AMSTERDAM AVENUE	10023	41
d64d12a9fc927b7a6c65b6720940f8bb	2	197	KNICKERBOCKER AVENUE	11237	19
d8e71240f98f6f77dfb3bda75f4d7626	4	10915	JAMAICA AVENUE	11418	53
911755dd069f7155a576e6aa44a9ff40	2	234	KINGS HIGHWAY	11223	19
c7af66355387c78dabfc676cfc754515	4	10704	LIBERTY AVENUE	11417	16
f7c7b79af19b54510a852f2f039738d2	3	1-3	ELDRIDGE STREET	10002	19
aef609896423b28ee71273b8c6d16ad0	2	620	ATLANTIC AVENUE	11217	3
1aada7538e123302e9314596928c64f7	3	160	EAST   44 STREET	10017	42
9602636ea21e5ffd4ec9fddff7bdff7f	3	221	EAST 71ST STREET	10021	3
6afcf4381a93ae04dd352c5dc88f4ce5	4	17013	JAMAICA AVE	11432	51
0594a8a1aba53951b4c2a5c9a20d928e	3	59	NASSAU ST	10038	19
e25042beec3864495ea2f3ddc1da2a54	5	364	BAY ST	10301	19
14744eb189ed28811a51e3cf146d2c79	2	2211	86 STREET	11214	19
46e2eb9f3124cc06a32cfee477415c4c	3	473	LENOX AVENUE	10037	19
0410c15389e71abe5899801f7484862f	3	1875	LEXINGTON AVE	10035	3
c7494947cdd2f61b0ce3ca68042cd1c4	3	656	9 AVENUE	10036	3
df0b829f3648f84e6b6914aca9c3d543	2	1450	FULTON ST	11216	13
3226777bf2a4cbdb84aef2d58e75b80b	3	112	GREENWICH AVENUE	10011	72
9e12278306466e3c36e52b3db14d9764	3	235	E 45TH ST	10017	13
fd1a96613359c0948d09a0dbef8b5bb6	4	9529	SUTPHIN BOULEVARD	11435	66
04a4605094d747bcc1e3b96c7b0b0081	2	336	GRAHAM AVE	11211	3
0fca0d5d40d4531a29d7c9aff64b7445	3	338	9TH AVE	10001	19
3f540521e76fc1f1f64698d04e71afbd	2	301	7TH AVE	11215	54
e016f35f8e7be60749acbb600f418355	2	850	3RD AVE	11232	3
056c5d7eab8bcac6fb3732157621b94e	2	29	BAY RIDGE AVENUE	11220	47
f5a6d8a249e7fc51d601babb45fdfd6a	5	1072	BAY STREET	10305	14
954ffe8e3e34c89221220a68e2413233	4	18112	HILLSIDE AVE	11432	59
75fef3b11ef9b961c29388afe5be6627	2	2001	ORIENTAL BOULEVARD	11235	3
3892534f82cd7d894cfa9fa294e50222	3	2167	BROADWAY	10024	8
d4869d49c7f4b3f2c823562303041221	1	5704	MOSHOLU AVENUE	10471	46
ee3a02a95ea8d813c9e4e96db4d0480b	2	1177	BEDFORD AVE	11216	3
4116578f9679272ddc5bb7a0401f7552	3	422	AMSTERDAM AVE	10024	58
ffd2f78c289003d7b706a76929e51501	3	525	EAST   71 STREET	10021	3
7156c148c6bd6324a4a12e50d2e65705	2	24	AVENUE O	11204	62
e27edd106cdacf1bb427384fe8b2b76c	4	4746	VERNON BOULEVARD	11101	46
7732b4ed000d6521fda67aaa162f1a62	2	81	SOUTH    6 STREET	11249	3
e01dbe0fbdedee5512a27ce68ab4bf4d	3	123	MACDOUGAL ST	10012	62
f6c283237016510c5dd1f00795de6f7b	3	23	E 40TH ST	10016	78
699998a2ac8bc84814e36e1b720c1f6d	3	181	ESSEX ST	10002	3
c221000b176c445daf72b4e3d8cfcc66	2	903	FULTON ST	11238	3
481b75f987f66793e26197ea595ad056	2	4-6	BERRY STREET	11249	3
ad21fa4111a67c5edf901b481af2d2c0	2	4106	2 AVENUE	11232	3
753b4d20697e76d3f320265e216f165a	4	13875	FRANCIS LEWIS BLVD	11422	19
2ee852ff8afcc83fd4c6ab3b92d16fe3	2	448	ATLANTIC AVENUE	11217	8
e2feab158107ed3c4277b67b4c775bca	2	67	SOUTH 6 STREET	11211	84
53dbeeafeead9bcb1367f9cafe332edc	3	2454	BROADWAY	10024	3
da4a78d9387b3d9166996a930165a68c	1	3975A	LACONIA AVE	10466	19
a4bec53d0bb043cac5eeddbaca407a85	2	9395	AVENUE U	11223	3
b983a1611cc03a8d6f613c1e196646e8	3	432	3RD AVE	10016	13
acc85072662bee33178ab66bbb79dc48	3	315	WEST   44 STREET	10036	3
7788bf4debac733a64703f833c0050bd	3	337	LAFAYETTE STREET	10012	3
7da1abda11ba3d4f174c1483241d6cd5	2	62	5TH AVE	11217	16
c2b0aa8a1e30bd49ad8900bd449a1b97	2	461	COURT STREET	11231	13
f3fdea00574016858c97bf4b5fbd136b	4	ONE	JFK INTERNATIONAL AIRPORT	11430	62
08c364e94fca92619ebdefd8f9efe546	3	81	E 7TH ST	10003	13
4c5a5d758d1befe41de7d00d4484da6d	4	4320	31ST AVE	11103	51
d5f4ff15ff7033a4cdeddab0a3a762d6	1	5654	RIVERDALE AVENUE	10471	63
6438f1ee50164858570422cfe1f9916d	3	1071	1ST AVE	10022	42
dba41265e37ffcc776b48b441965b563	2	1005	MANHATTAN AVENUE	11222	42
c6da098216bfbafe1f3ae995c2ddc9d3	2	201	5TH AVE	11217	47
c8f3688817fe2c11ce46d8f5856cd8b0	4	13620	38 AVENUE	11354	47
245049104684211777a872b834b2adfd	3	1531	YORK AVE	10028	47
ae8429b19356e192876869e938efd069	3	424A	E 14TH ST	10009	47
e5447e0c6a1a518a969176cf733f2c55	1	2109	STARLING AVE	10462	9
f46ca6242e91b0f302526bf53c26f6c8	4	13765	QUEENS BOULEVARD	11435	62
5e5686d3c19342bf48c583a578730217	4	514	51 AVENUE	11101	3
0f9cb8aaccc96151662f2bbae2d92f7b	2	6917	5TH AVE	11209	52
b8520e2a6b5f472c96b48e8afb88e4cb	2	1267	FULTON STREET	11216	16
4082ba1dea92a073b2edb9d6f1b904e1	3	2376	A C POWELL BLVD	10030	3
a6039c88f67cd0d50fc61e1cb0496f5c	2	4522	AVENUE N	11234	8
943700971b7be3f9bb35cc87bf38b898	2	443	BUSHWICK AVE	11206	42
4c21e3aab005dd16d0a96cc98a0ca3da	3	24	EAST   21 STREET	10010	54
cc52e42acaaeb80dd5f474f2900d4ec3	4	13685	41ST AVE	11355	8
8aefb5338a11329f8d68a3f657388e98	2	1003	CHURCH AVENUE	11218	81
b05813408f647714d3fc2903a325cbee	3	466	AMSTERDAM AVENUE	10024	47
08de76c6b9003531468a394111ac9d29	2	2025	NOSTRAND AVENUE	11210	16
466c218aec1c7d40c52094e7906d56be	3	234	WEST   42 STREET	10036	3
4b6d145e8d5d6afe36078cb5c951f7ec	3	227	W 42ND ST	10036	3
ef54540587c490d6363856590c55bc29	3	714	11 AVENUE	10019	3
783b4c66f4a1730008b7fb4a39e5da59	4	16922	HILLSIDE AVE	11432	81
c6b3e008ef1ed868b1400395b2c9c498	3	414	AMSTERDAM AVE	10024	41
e146d7f003764d6edf5add360e8fa8ff	3	75	NINTH AVENUE	10011	8
2f6243f672b9950aaa22985778d1a87d	4	4-40	44 DRIVE	11101	3
c9d66796672336ebcacf00dcd1d39be8	2	4311	CHURCH AVENUE	11203	16
1c57b34c7b429c8e59a25d2848e55ad0	3	69	7 AVENUE SOUTH	10014	62
e0e5f0f852a5c83b29a90b90415a2c05	3	339	EAST 10 STREET	10009	3
e1718276d2e3f3c580a45290d010f110	3	322	WEST   50 STREET	10019	53
3d4da371a782df6caffdb29e3c5759b2	3	187	9 AVENUE	10011	3
584d28ded0086137f5015bec50a67117	2	7201	16TH AVE	11204	53
fe07612a279986543cfd0f8e76f01123	3	1567	BROADWAY	10036	72
52b79a4f1bbe67eed44b5858fb8c86bd	3	116	EAST   27 STREET	10016	3
07a55c40b7c66f0617d7fd0679274de7	4	1524	COLLEGE POINT BLVD	11356	53
9b2eb09bae21f1d57f7a92c8861b7613	3	235	ELDRIDGE STREET	10002	3
a10bcf6e8a0039ab0066ecb173378d25	3	94	AVENUE C	10009	73
a7869ff589a4d10c1ead6efd97f91e24	3	4455	BROADWAY	10040	62
e3b2f2dedf9a2d5120e6f17d235db300	4	2914	36TH AVE	11106	9
6d0ae3aa42538b0ede96dbaa37f0831e	4	6825	FRESH MEADOW LN	11365	58
2441885791768c6b91c70c802d70f41f	2	5013	7TH AVE	11220	8
663fcb199681ed97ade8401b1a39cc20	3	303	E 85TH ST	10028	3
77902c1c808065248ea2e42db96b0da4	3	848	WASHINGTON STREET	10014	3
39ff2a484e3a84b30089c61356679ca7	2	1922	CONEY ISLAND AVE	11230	78
31e3e13bc77fbe98d82ffcd8b4b929ae	5	1465	FOREST AVENUE	10302	3
3b85d7202acafd79101b137e855d58d5	4	8302	ATLANTIC AVENUE	11416	17
fef0802012d16b3ff9a34e8c4450e0a8	3	315	W 46TH ST	10036	3
512eb8ecc1d00ad39bb4f489ff12d7ae	3	55	WEST   21 STREET	10010	3
68cd8b312efe1b2917a4fafda3820a55	4	0	LAGUARDIA AIRPORT	11369	3
aeb3b9cf97f21aa1f62b21fa98c3248c	2	296	GRAND STREET	11211	47
e37666b7ba10ccae47c88437682cad44	3	9	WEST   57 STREET	10019	3
add785d930ef763f11c81f59b0114fe2	3	413	E 69TH ST	10021	13
b2c6da41580521c5a7ac18a4997c1db4	2	147	FRONT ST	11201	3
642b3f4f9974abcde117448e120958d5	4	23006	S CONDUIT AVE	11413	16
287fc9dc7af2a07289d9e5cefc42f01d	3	304	WEST   56 STREET	10019	46
1bc17a844b8593ef3ff6f9deda9166d0	3	200	E 60TH STREET	10022	3
b07efd5e09acabf1a309b7542d171d98	3	1167	2 AVENUE	10065	3
